",""COD.IBGE7"",""REGIÃO"",""UF"",""PORTE"",""MUNICÍPIO"",""falha em educaçãoo"",""ANO_FALHA"",""tempofalha"",""serv_esta_med"",""serv_per_cap_med"",""Conselho edu criação"",""idad_Conselho edu"",""Falha_ant_Consel"",""soma contratos"",""NEP"",""Ideologia"",""Arrec_Prop"",""PIBpercapita"",""IDHM"",""tm"",""PERCENT_ganhador"",""TaxadeUrbanizaÁ„o"",""Sul"",""centro_Oeste"",""Sudeste"",""Nordeste"",""Norte"",""POP"",""LN_POP"",""RM"""
"796,""2206407"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Monsenhor Gil"",""0"",""2012"",""12"",""0.7764003005"","" 29.592953"",""-"","" 0"",""1"","" 5"",""1.730807"",""6.80"",""  18.638852"",""  6541.6000"",""0.561"",""0.20091694"",""0.577765"",""0.506000"",""0"",""0"",""0"",""1"",""0"",""  10234"","" 9.233471"",""1"""
"797,""2206506"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Monsenhor HipÛlito"",""0"",""2012"",""12"",""0.3127895471"","" 27.383971"",""-"","" 0"",""1"","" 5"",""1.985594"",""3.55"",""  11.632045"",""  3107.1800"",""0.721"",""0.44258746"",""0.536772"",""0.432000"",""0"",""0"",""0"",""1"",""0"",""   6619"","" 8.797700"",""0"""
"798,""2206605"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Monte Alegre do PiauÌ"",""0"",""2012"",""12"",""0.4697412764"","" 42.262857"",""2009"","" 1"",""0"","" 1"",""1.918668"",""6.80"",""  15.069067"",""  4067.0600"",""0.759"",""0.33072853"",""0.521195"",""0.267000"",""0"",""0"",""0"",""1"",""0"",""   9386"","" 9.146974"",""0"""
"799,""2206654"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Morro CabeÁa no Tempo"",""1"",""2006"","" 6"",""0.5885262030"","" 52.781773"",""2000"","" 6"",""0"",""NA"",""1.955326"",""6.29"",""  13.363977"",""  1585.8496"",""0.617"",""0.49277168"",""0.514535"",""0.299693"",""0"",""0"",""0"",""1"",""0"",""   4293"","" 8.364741"",""0"""
"800,""2206670"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Morro do ChapÈu do PiauÌ"",""0"",""2012"",""12"",""0.6264007434"","" 40.798678"",""-"","" 0"",""1"","" 4"",""1.826426"",""6.12"",""  12.638803"",""  2641.6500"",""0.597"",""0.57137748"",""0.547517"",""0.337000"",""0"",""0"",""0"",""1"",""0"",""   4774"","" 8.470940"",""0"""
"801,""2206696"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Murici dos Portelas"",""0"",""2012"",""12"",""0.4746626719"","" 42.822401"",""-"","" 0"",""1"","" 4"",""1.949650"",""6.80"",""   6.301675"",""  2921.6500"",""0.596"",""0.49085549"",""0.512913"",""0.205000"",""0"",""0"",""0"",""1"",""0"",""   6063"","" 8.709960"",""0"""
"802,""2206704"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""NazarÈ do PiauÌ"",""0"",""2012"",""12"",""0.4852238891"","" 31.573565"",""-"","" 0"",""1"","" 2"",""1.909866"",""3.55"",""  12.945516"",""  2715.6200"",""0.678"",""0.50572184"",""0.523597"",""0.385000"",""0"",""0"",""0"",""1"",""0"",""   8174"","" 9.008714"",""0"""
"803,""2206720"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Naz·ria"",""0"",""2012"",""12"",""          NA"",""        NA"",""2009"","" 3"",""0"","" 0"",""1.713677"",""  NA"",""  26.782860"",""         NA"",""0.710"",""        NA"",""0.583540"",""      NA"",""0"",""0"",""0"",""1"",""0"",""      0"","" 0.000000"",""0"""
"804,""2206753"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Nossa Senhora de NazarÈ"",""0"",""2012"",""12"",""0.7040058403"","" 46.701761"",""-"","" 0"",""1"","" 5"",""1.724286"",""6.80"",""  16.793327"",""  2975.3200"",""0.638"",""0.53876846"",""0.579950"",""0.309000"",""0"",""0"",""0"",""1"",""0"",""   3389"","" 8.128290"",""0"""
"805,""2206803"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Nossa Senhora dos RemÈdios"",""1"",""2004"","" 4"",""0.3611187122"","" 65.420284"",""-"","" 0"",""1"","" 0"",""2.083551"",""5.75"",""   5.571585"",""  1071.9782"",""0.666"",""0.50247846"",""0.516355"",""0.375000"",""0"",""0"",""0"",""1"",""0"",""   7588"","" 8.934323"",""0"""
"806,""2206902"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Novo Oriente do PiauÌ"",""0"",""2012"",""12"",""0.8193108168"","" 70.805063"",""-"","" 0"",""1"","" 6"",""2.027867"",""6.26"",""  20.142518"",""  2836.3500"",""0.658"",""0.47284204"",""0.517259"",""0.463000"",""0"",""0"",""0"",""1"",""0"",""   6306"","" 8.749257"",""0"""
"807,""2206951"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Novo Santo AntÙnio"",""0"",""2012"",""12"",""0.7030778470"","" 17.431905"",""-"","" 0"",""1"","" 1"",""1.946508"",""7.88"",""  11.068854"",""  2886.6300"",""0.653"",""0.50611623"",""0.513740"",""0.216000"",""0"",""0"",""0"",""1"",""0"",""   3225"","" 8.078688"",""0"""
"808,""2207009"",""2 - Nord"",""22"",""4 - 20001 atÈ 50000"",""Oeiras"",""0"",""2012"",""12"",""0.7384408238"",""301.023512"",""2000"",""12"",""0"","" 5"",""1.894451"",""3.55"",""  21.836302"",""  3540.0900"",""0.507"",""0.34237131"",""0.527857"",""0.591000"",""0"",""0"",""0"",""1"",""0"",""  31777"",""10.366498"",""0"""
"809,""2207108"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Olho D'¡gua do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 27.391230"",""2010"","" 0"",""1"","" 1"",""1.461896"",""3.55"",""  14.921137"",""  3147.7200"",""0.503"",""0.46485802"",""0.684043"",""0.385000"",""0"",""0"",""0"",""1"",""0"",""   2794"","" 7.935230"",""0"""
"810,""2207207"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Padre Marcos"",""1"",""2003"","" 3"",""0.1017024275"","" 49.780708"",""-"","" 0"",""1"","" 1"",""1.805034"",""8.48"",""   6.727717"",""  1158.7853"",""0.442"",""0.44274407"",""0.554006"",""0.356000"",""0"",""0"",""0"",""1"",""0"",""   6620"","" 8.797851"",""0"""
"811,""2207306"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Paes Landim"",""0"",""2012"",""12"",""0.2472568977"","" 85.096800"",""-"","" 0"",""1"","" 1"",""1.992148"",""3.83"",""  18.673784"",""  2774.1100"",""0.590"",""0.52367669"",""0.501971"",""0.553000"",""0"",""0"",""0"",""1"",""0"",""   3785"","" 8.238801"",""0"""
"812,""2207355"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Paje˙ do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 32.861310"",""-"","" 0"",""1"","" 2"",""1.708531"",""6.80"",""  19.249949"",""  3013.1100"",""0.558"",""0.45889619"",""0.585298"",""0.390000"",""0"",""0"",""0"",""1"",""0"",""   3648"","" 8.201934"",""0"""
"813,""2207405"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Palmeira do PiauÌ"",""0"",""2012"",""12"",""0.0961036762"","" 25.402044"",""2002"",""10"",""0"","" 2"",""1.517287"",""6.80"",""  69.645156"",""  5368.2200"",""0.557"",""0.25007895"",""0.659071"",""0.318000"",""0"",""0"",""0"",""1"",""0"",""   5076"","" 8.532279"",""0"""
"814,""2207504"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Palmeirais"",""1"",""2005"","" 5"",""0.7042597747"","" 97.508713"",""-"","" 0"",""1"","" 1"",""2.214939"",""6.96"",""   7.635646"",""  2188.7709"",""0.383"",""0.36663065"",""0.527696"",""0.371183"",""0"",""0"",""0"",""1"",""0"",""  11829"","" 9.378309"",""0"""
"815,""2207553"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Paquet·"",""0"",""2012"",""12"",""0.2727049792"","" 31.408845"",""2003"","" 9"",""0"","" 3"",""1.000000"",""6.12"",""  10.287507"",""  3010.5300"",""0.725"",""0.50994186"",""1.000000"",""0.123000"",""0"",""0"",""0"",""1"",""0"",""   4467"","" 8.404472"",""0"""
"816,""2207603"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Parnagu·"",""1"",""2010"",""10"",""0.8416255620"","" 11.499108"",""2000"",""12"",""0"","" 2"",""1.720483"",""6.80"",""  15.926030"",""  2947.3000"",""0.687"",""0.45609781"",""0.581232"",""0.508000"",""0"",""0"",""0"",""1"",""0"",""   9352"","" 9.143346"",""0"""
"817,""2207702"",""2 - Nord"",""22"",""6 - 100001 atÈ 500000"",""ParnaÌba"",""0"",""2012"",""12"",""0.7144260664"",""514.380126"",""2005"","" 7"",""0"",""13"",""1.691106"",""6.80"","" 115.068078"",""  4638.5900"",""0.599"",""0.26948284"",""0.624127"",""0.941000"",""0"",""0"",""0"",""1"",""0"","" 126501"",""11.748005"",""0"""
"818,""2207751"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Passagem Franca do PiauÌ"",""0"",""2012"",""12"",""0.1382582273"","" 39.804962"",""2008"","" 4"",""0"","" 1"",""1.787140"",""3.55"",""   6.752450"",""  3835.8400"",""0.561"",""0.37001562"",""0.559553"",""0.523000"",""0"",""0"",""0"",""1"",""0"",""   4148"","" 8.330382"",""0"""
"819,""2207777"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Patos do PiauÌ"",""0"",""2012"",""12"",""0.6836140970"","" 53.032961"",""2007"","" 5"",""0"","" 2"",""1.910931"",""6.12"",""  74.110259"",""  3777.3300"",""0.729"",""0.36428337"",""0.523305"",""0.253000"",""0"",""0"",""0"",""1"",""0"",""   5596"","" 8.629807"",""0"""
"820,""2207793"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Pau D'Arco do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 17.935739"",""-"","" 0"",""1"","" 1"",""2.478584"",""6.12"",""         NA"",""  3288.1700"",""0.678"",""0.41204553"",""0.427386"",""0.109000"",""0"",""0"",""0"",""1"",""0"",""      0"","" 0.000000"",""0"""
"821,""2207801"",""2 - Nord"",""22"",""4 - 20001 atÈ 50000"",""Paulistana"",""0"",""2012"",""12"",""0.6694950419"",""101.802800"",""2009"","" 3"",""0"","" 7"",""1.946547"",""6.12"",""  22.907697"",""  3228.5000"",""0.718"",""0.40508255"",""0.513730"",""0.579000"",""0"",""0"",""0"",""1"",""0"",""  15463"","" 9.646205"",""0"""
"822,""2207850"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Pavussu"",""0"",""2012"",""12"",""0.0000000000"","" 16.084218"",""2011"","" 0"",""1"","" 6"",""1.958243"",""2.73"",""         NA"",""  2819.0400"",""0.587"",""0.50342344"",""0.510662"",""0.447000"",""0"",""0"",""0"",""1"",""0"",""   3859"","" 8.258163"",""0"""
"823,""2207900"",""2 - Nord"",""22"",""4 - 20001 atÈ 50000"",""Pedro II"",""0"",""2012"",""12"",""0.7899996952"",""352.360076"",""2012"","" 0"",""0"","" 3"",""1.918241"",""4.02"",""  11.291426"",""  2628.0700"",""0.562"",""0.48188028"",""0.521311"",""0.593000"",""0"",""0"",""0"",""1"",""0"",""  35856"",""10.487266"",""0"""
"824,""2207934"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Pedro Laurentino"",""0"",""2012"",""12"",""0.3974106102"","" 47.775906"",""2009"","" 3"",""0"","" 1"",""1.796402"",""6.80"",""  37.166913"",""  3357.1700"",""0.757"",""0.54288029"",""0.556668"",""0.343000"",""0"",""0"",""0"",""1"",""0"",""   1453"","" 7.281386"",""0"""
"825,""2207959"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Nova Santa Rita"",""0"",""2012"",""12"",""0.2530541012"","" 15.522123"",""-"","" 0"",""1"","" 2"",""1.934385"",""6.12"",""  21.548455"",""  2837.3100"",""0.731"",""0.56805765"",""0.516960"",""0.168000"",""0"",""0"",""0"",""1"",""0"",""   3568"","" 8.179760"",""0"""
"826,""2208007"",""2 - Nord"",""22"",""5 - 50001 atÈ 100000"",""Picos"",""0"",""2012"",""12"",""0.3576146629"","" 76.934886"",""-"","" 0"",""1"","" 9"",""1.180933"",""6.12"",""  85.653773"",""  6963.2200"",""0.608"",""0.18428030"",""0.849770"",""0.776000"",""0"",""0"",""0"",""1"",""0"",""  63578"",""11.060023"",""0"""
"827,""2208106"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Pimenteiras"",""0"",""2012"",""12"",""0.7503964196"","" 30.164109"",""2007"","" 5"",""0"","" 4"",""1.435303"",""3.55"",""         NA"",""  3292.8500"",""0.665"",""0.40132294"",""0.880758"",""0.394000"",""0"",""0"",""0"",""1"",""0"",""   9074"","" 9.113168"",""0"""
"828,""2208205"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Pio IX"",""0"",""2012"",""12"",""0.0000000000"","" 21.323951"",""-"","" 0"",""1"","" 3"",""1.670427"",""3.83"",""  16.808929"",""  4229.8900"",""0.541"",""0.31346258"",""0.598649"",""0.293000"",""0"",""0"",""0"",""1"",""0"",""  15395"","" 9.641798"",""0"""
"829,""2208304"",""2 - Nord"",""22"",""4 - 20001 atÈ 50000"",""Piracuruca"",""0"",""2012"",""12"",""0.2950196077"","" 17.238111"",""-"","" 0"",""1"","" 2"",""2.059462"",""2.73"",""  13.561504"",""  3254.4000"",""0.708"",""0.39808302"",""0.493760"",""0.687000"",""0"",""0"",""0"",""1"",""0"",""  23922"",""10.082554"",""0"""
"830,""2208403"",""2 - Nord"",""22"",""5 - 50001 atÈ 100000"",""Piripiri"",""0"",""2012"",""12"",""0.3866273234"","" 89.423306"",""2004"","" 8"",""0"","" 9"",""1.935299"",""6.80"",""  32.793911"",""  3490.8100"",""0.578"",""0.36485789"",""0.516716"",""0.711000"",""0"",""0"",""0"",""1"",""0"",""  59110"",""10.987155"",""0"""
"831,""2208502"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""Porto"",""0"",""2012"",""12"",""0.6453061415"",""115.161957"",""2011"","" 1"",""0"","" 8"",""1.900160"",""6.12"",""   4.012010"",""  2323.4100"",""0.576"",""0.55185452"",""0.526271"",""0.643000"",""0"",""0"",""0"",""1"",""0"",""  10156"","" 9.225820"",""0"""
"832,""2208551"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Porto Alegre do PiauÌ"",""0"",""2012"",""12"",""0.1219598128"","" 45.806565"",""2005"","" 7"",""0"","" 2"",""1.453598"",""6.12"",""  17.553237"",""  5324.2300"",""0.645"",""0.35117451"",""0.687948"",""0.656000"",""0"",""0"",""0"",""1"",""0"",""   1937"","" 7.568896"",""0"""
"833,""2208601"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Prata do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 24.441205"",""-"","" 0"",""1"","" 5"",""1.838866"",""6.12"",""  36.408287"",""  2790.8200"",""0.701"",""0.55134831"",""0.543813"",""0.834000"",""0"",""0"",""0"",""1"",""0"",""   3035"","" 8.017967"",""0"""
"834,""2208650"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Queimada Nova"",""0"",""2012"",""12"",""0.6474210746"","" 31.366343"",""2009"","" 3"",""0"","" 3"",""1.799235"",""3.55"",""   5.042322"",""  2813.2200"",""0.592"",""0.46975415"",""0.555792"",""0.112000"",""0"",""0"",""0"",""1"",""0"",""   7844"","" 8.967504"",""0"""
"835,""2208700"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""RedenÁ„o do GurguÈia"",""0"",""2012"",""12"",""0.6920857506"","" 25.985740"",""2010"","" 2"",""0"","" 6"",""2.406083"",""8.02"",""  12.131528"",""  3044.7000"",""0.631"",""0.50250346"",""0.441959"",""0.634000"",""0"",""0"",""0"",""1"",""0"",""   7520"","" 8.925321"",""0"""
"836,""2208809"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""RegeneraÁ„o"",""0"",""2012"",""12"",""0.4579500150"",""100.942795"",""1997"",""15"",""0"","" 7"",""1.781655"",""6.80"",""  54.350925"",""  3047.4400"",""0.768"",""0.41831591"",""0.561276"",""0.769000"",""0"",""0"",""0"",""1"",""0"",""  16636"","" 9.719324"",""0"""
"837,""2208858"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Riacho Frio"",""1"",""2006"","" 6"",""0.4095876713"","" 91.060045"",""2008"","" 0"",""1"",""NA"",""2.403610"",""8.58"",""         NA"",""  2313.1391"",""0.459"",""0.42494130"",""0.441214"",""0.413391"",""0"",""0"",""0"",""1"",""0"",""   4394"","" 8.387995"",""0"""
"838,""2208874"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Ribeira do PiauÌ"",""0"",""2012"",""12"",""0.7088409890"","" 38.446894"",""-"","" 0"",""1"","" 1"",""1.000000"",""6.80"",""  15.524749"",""  2667.9600"",""0.601"",""0.59885008"",""1.000000"",""0.198000"",""0"",""0"",""0"",""1"",""0"",""   3564"","" 8.178639"",""0"""
"839,""2208908"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Ribeiro GonÁalves"",""0"",""2012"",""12"",""0.3436048879"","" 37.522511"",""-"","" 0"",""1"","" 1"",""1.916837"",""3.55"",""  34.627590"","" 12666.1100"",""0.613"",""0.10573899"",""0.521693"",""0.541000"",""0"",""0"",""0"",""1"",""0"",""   5940"","" 8.689464"",""0"""
"840,""2209005"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Rio Grande do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 43.650523"",""-"","" 0"",""1"","" 2"",""1.000000"",""6.12"",""  10.601717"",""  2927.0200"",""0.643"",""0.44051684"",""1.000000"",""0.603000"",""0"",""0"",""0"",""1"",""0"",""   5893"","" 8.681520"",""0"""
"841,""2209104"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santa Cruz do PiauÌ"",""0"",""2012"",""12"",""0.7512782983"","" 52.301384"",""2011"","" 1"",""0"","" 1"",""2.571172"",""6.80"",""  22.813577"",""  2787.7700"",""0.601"",""0.43539247"",""0.409824"",""0.676000"",""0"",""0"",""0"",""1"",""0"",""   6159"","" 8.725670"",""0"""
"842,""2209153"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Santa Cruz dos Milagres"",""0"",""2012"",""12"",""0.8383821607"","" 43.088212"",""2008"","" 4"",""0"","" 2"",""1.731861"",""4.02"",""  12.417849"",""  3638.7800"",""0.577"",""0.43516942"",""0.577413"",""0.565000"",""0"",""0"",""0"",""1"",""0"",""   3490"","" 8.157657"",""0"""
"843,""2209203"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santa Filomena"",""0"",""2012"",""12"",""0.1315978027"","" 50.618096"",""2001"","" 9"",""0"","" 1"",""1.674291"",""6.80"",""         NA"","" 12075.0500"",""0.533"",""0.10434789"",""0.597268"",""0.537000"",""0"",""0"",""0"",""1"",""0"",""   5753"","" 8.657477"",""0"""
"844,""2209302"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santa Luz"",""0"",""2012"",""12"",""0.0000000000"","" 46.854242"",""-"","" 0"",""1"","" 3"",""1.735588"",""3.55"",""  10.668686"",""  2655.6800"",""0.588"",""0.51172760"",""0.576173"",""0.555000"",""0"",""0"",""0"",""1"",""0"",""   4396"","" 8.388450"",""0"""
"845,""2209351"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santana do PiauÌ"",""0"",""2012"",""12"",""0.6771388647"","" 34.481462"",""-"","" 0"",""1"","" 4"",""1.176802"",""6.12"",""  16.420544"",""  2844.6000"",""0.665"",""0.46463076"",""0.849760"",""0.395000"",""0"",""0"",""0"",""1"",""0"",""   3561"","" 8.177797"",""0"""
"846,""2209377"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santa Rosa do PiauÌ"",""0"",""2012"",""12"",""0.8009000132"","" 29.699338"",""-"","" 0"",""1"","" 2"",""1.745863"",""6.80"",""  11.779175"",""  2719.2900"",""0.567"",""0.53398660"",""0.572783"",""0.704000"",""0"",""0"",""0"",""1"",""0"",""   5029"","" 8.522976"",""0"""
"847,""2209401"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""Santo AntÙnio de Lisboa"",""0"",""2012"",""12"",""0.0453900709"","" 66.496166"",""2007"","" 0"",""1"","" 3"",""1.937385"",""3.55"",""  13.234308"",""  4431.0400"",""0.718"",""0.30039746"",""0.516160"",""0.629000"",""0"",""0"",""0"",""1"",""0"",""   5039"","" 8.524963"",""0"""
"848,""2209450"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Santo AntÙnio dos Milagres"",""0"",""2012"",""12"",""0.0000000000"","" 44.813877"",""1997"",""15"",""0"","" 2"",""1.817942"",""6.80"",""  17.332335"",""  3379.4500"",""0.739"",""0.64233153"",""0.550073"",""0.383000"",""0"",""0"",""0"",""1"",""0"",""   1655"","" 7.411556"",""0"""
"849,""2209500"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""Santo In·cio do PiauÌ"",""0"",""2012"",""12"",""0.7857092430"","" 43.580788"",""-"","" 0"",""1"","" 1"",""1.639974"",""3.55"",""  15.431570"",""  2967.3700"",""0.740"",""0.45879492"",""0.609766"",""0.600000"",""0"",""0"",""0"",""1"",""0"",""   3257"","" 8.088562"",""0"""
"850,""2209559"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o Braz do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 52.728987"",""2009"","" 3"",""0"","" 2"",""1.000000"",""3.55"",""  17.925563"",""  2585.5600"",""0.585"",""0.53331962"",""1.000000"",""0.243000"",""0"",""0"",""0"",""1"",""0"",""   4107"","" 8.320448"",""0"""
"851,""2209609"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o FÈlix do PiauÌ"",""0"",""2012"",""12"",""0.5535641673"","" 62.412133"",""-"","" 0"",""1"","" 3"",""1.389418"",""6.80"",""  32.777044"",""  3418.6200"",""0.574"",""0.39919423"",""0.719726"",""0.531000"",""0"",""0"",""0"",""1"",""0"",""   3353"","" 8.117611"",""0"""
"852,""2209658"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o Francisco de Assis do PiauÌ"",""0"",""2012"",""12"",""0.2350566440"","" 35.727732"",""-"","" 0"",""1"","" 2"",""1.944166"",""6.80"",""  14.246929"",""  2488.1800"",""0.651"",""0.60561747"",""0.514359"",""0.227000"",""0"",""0"",""0"",""1"",""0"",""   3865"","" 8.259717"",""0"""
"853,""2209708"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o Francisco do PiauÌ"",""1"",""2006"","" 6"",""0.2366838176"","" 74.847853"",""2009"","" 0"",""1"",""NA"",""2.143396"",""3.46"",""   5.829472"",""  1774.8503"",""0.658"",""0.44588080"",""0.510285"",""0.269439"",""0"",""0"",""0"",""1"",""0"",""   6214"","" 8.734560"",""0"""
"854,""2209757"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o GonÁalo do GurguÈia"",""0"",""2012"",""12"",""0.0808241597"","" 51.834731"",""-"","" 0"",""1"","" 1"",""2.029019"",""3.83"",""         NA"",""  3628.6200"",""0.689"",""0.46816585"",""0.514431"",""0.448000"",""0"",""0"",""0"",""1"",""0"",""   2399"","" 7.782807"",""0"""
"855,""2209807"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o GonÁalo do PiauÌ"",""0"",""2012"",""12"",""0.7274619091"","" 44.148264"",""2008"","" 4"",""0"","" 7"",""1.327128"",""6.12"",""   7.615734"",""  2986.9700"",""0.667"",""0.47251482"",""0.753507"",""0.732000"",""0"",""0"",""0"",""1"",""0"",""   3635"","" 8.198364"",""0"""
"856,""2209856"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o Jo„o da Canabrava"",""0"",""2012"",""12"",""0.7175069556"","" 38.335906"",""-"","" 0"",""1"","" 5"",""1.972304"",""6.12"",""  15.331009"",""  2798.1200"",""0.559"",""0.48060514"",""0.507021"",""0.291000"",""0"",""0"",""0"",""1"",""0"",""   4465"","" 8.404024"",""0"""
"857,""2209872"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o Jo„o da Fronteira"",""0"",""2012"",""12"",""0.2678420865"","" 40.341298"",""-"","" 0"",""1"","" 2"",""1.943889"",""6.80"",""  31.319559"",""  4199.8800"",""0.515"",""0.37599640"",""0.514433"",""0.350000"",""0"",""0"",""0"",""1"",""0"",""   5066"","" 8.530307"",""0"""
"858,""2209906"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o Jo„o da Serra"",""1"",""2003"","" 3"",""0.6176991209"","" 68.007181"",""-"","" 0"",""1"","" 0"",""2.285438"",""6.21"",""   5.400141"",""  1274.0332"",""0.364"",""0.38315012"",""0.518126"",""0.474000"",""0"",""0"",""0"",""1"",""0"",""   6957"","" 8.847504"",""0"""
"859,""2209955"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o Jo„o da Varjota"",""0"",""2012"",""12"",""0.2579016330"","" 35.271694"",""-"","" 0"",""1"","" 9"",""1.000000"",""3.55"",""  13.596216"",""  2459.0800"",""0.559"",""0.58086736"",""1.000000"",""0.263000"",""0"",""0"",""0"",""1"",""0"",""   4259"","" 8.356790"",""0"""
"860,""2209971"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o Jo„o do Arraial"",""0"",""2012"",""12"",""0.7662152235"","" 20.974698"",""-"","" 0"",""1"","" 8"",""1.657404"",""3.83"",""  19.001448"",""  2090.1900"",""0.664"",""0.62615671"",""0.603353"",""0.492000"",""0"",""0"",""0"",""1"",""0"",""   4173"","" 8.336390"",""0"""
"861,""2210003"",""2 - Nord"",""22"",""3 - 10001 atÈ 20000"",""S„o Jo„o do PiauÌ"",""0"",""2012"",""12"",""0.0000000000"","" 81.947571"",""-"","" 0"",""1"","" 5"",""1.935556"",""8.02"",""  44.266613"",""  3734.5300"",""0.748"",""0.35197184"",""0.516647"",""0.647000"",""0"",""0"",""0"",""1"",""0"",""  15541"","" 9.651237"",""0"""
"862,""2210052"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o JosÈ do Divino"",""1"",""2001"","" 1"",""0.3462084957"","" 62.081485"",""-"","" 0"",""1"","" 1"",""2.504306"",""8.48"",""   7.663713"",""  1364.3583"",""0.522"",""0.27919685"",""0.428811"",""0.450000"",""0"",""0"",""0"",""1"",""0"",""   5051"","" 8.527342"",""0"""
"863,""2210102"",""2 - Nord"",""22"",""1 - AtÈ 5000"",""S„o JosÈ do Peixe"",""0"",""2012"",""12"",""0.3161597904"","" 30.956588"",""2011"","" 0"",""1"","" 2"",""2.659188"",""8.02"",""   9.817591"",""  3273.5400"",""0.552"",""0.47064988"",""0.393608"",""0.495000"",""0"",""0"",""0"",""1"",""0"",""   3665"","" 8.206584"",""0"""
"864,""2210201"",""2 - Nord"",""22"",""2 - 5001 atÈ 10000"",""S„o JosÈ do PiauÌ"",""0"",""2012"",""12"",""0.8358550945"","" 44.254270"",""-"","" 0"",""1"","" 5"",""1.000000"",""6.12"",""   3.884866"",""  3251.7500"",""0.661"",""0.42035425"",""1.000000"",""0.298000"",""0"",""0"",""0"",""1"",""0"",""   6017"","" 8.702344"",""0"""
